0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000182e-05 1.520000000000000084e-04 3.119999999999999944e-04 2.809999999999999998e-04 3.249999999999999851e-04 2.939999999999999905e-04 1.879999999999999890e-04 1.450000000000000009e-04 1.039999999999999936e-04 8.100000000000000375e-05 7.200000000000000182e-05 6.700000000000000226e-05 6.200000000000000270e-05 1.219999999999999974e-04 3.400000000000000244e-04 3.110000000000000243e-04 3.490000000000000263e-04 2.369999999999999874e-04 3.040000000000000167e-04 3.249999999999999851e-04 4.260000000000000006e-04
1.410000000000000120e-04 3.020000000000000223e-04 6.179999999999999513e-04 5.519999999999999733e-04 6.669999999999999497e-04 5.969999999999999829e-04 3.959999999999999762e-04 2.930000000000000204e-04 2.100000000000000087e-04 1.649999999999999991e-04 1.469999999999999953e-04 1.320000000000000101e-04 1.240000000000000054e-04 2.469999999999999865e-04 6.539999999999999590e-04 6.279999999999999775e-04 7.159999999999999481e-04 4.939999999999999730e-04 6.189999999999999756e-04 6.430000000000000169e-04 8.360000000000000460e-04
2.079999999999999872e-04 4.550000000000000008e-04 9.139999999999999904e-04 8.220000000000000310e-04 1.031000000000000015e-03 9.240000000000000166e-04 6.400000000000000524e-04 4.530000000000000064e-04 3.249999999999999851e-04 2.530000000000000239e-04 2.269999999999999882e-04 1.969999999999999909e-04 1.890000000000000133e-04 3.780000000000000265e-04 9.200000000000000278e-04 9.640000000000000131e-04 1.093000000000000005e-03 7.889999999999999878e-04 9.389999999999999476e-04 9.510000000000000224e-04 1.234999999999999987e-03
2.730000000000000222e-04 6.170000000000000354e-04 1.190000000000000085e-03 1.119999999999999902e-03 1.384000000000000031e-03 1.301000000000000073e-03 9.240000000000000166e-04 6.489999999999999459e-04 4.609999999999999840e-04 3.510000000000000208e-04 3.130000000000000187e-04 2.680000000000000090e-04 2.599999999999999772e-04 5.270000000000000162e-04 1.167999999999999984e-03 1.340999999999999961e-03 1.463000000000000108e-03 1.139999999999999954e-03 1.240999999999999916e-03 1.266999999999999897e-03 1.626000000000000058e-03
3.359999999999999814e-04 8.030000000000000028e-04 1.427000000000000100e-03 1.464000000000000024e-03 1.678000000000000021e-03 1.719999999999999958e-03 1.257000000000000088e-03 9.139999999999999904e-04 6.310000000000000504e-04 4.659999999999999971e-04 4.090000000000000211e-04 3.490000000000000263e-04 3.440000000000000132e-04 7.129999999999999836e-04 1.446999999999999936e-03 1.775000000000000102e-03 1.810999999999999893e-03 1.544999999999999932e-03 1.518999999999999951e-03 1.626999999999999974e-03 1.994999999999999812e-03
3.959999999999999762e-04 1.025000000000000086e-03 1.623000000000000094e-03 1.855000000000000095e-03 1.943000000000000066e-03 2.072000000000000057e-03 1.655000000000000004e-03 1.288000000000000082e-03 8.540000000000000499e-04 6.070000000000000092e-04 5.230000000000000274e-04 4.429999999999999802e-04 4.470000000000000232e-04 9.610000000000000486e-04 1.763000000000000027e-03 2.252000000000000095e-03 2.134000000000000046e-03 1.955999999999999839e-03 1.791000000000000057e-03 2.053999999999999836e-03 2.353000000000000057e-03
4.550000000000000008e-04 1.276999999999999923e-03 1.812000000000000026e-03 2.307000000000000023e-03 2.295999999999999864e-03 2.263999999999999953e-03 2.064999999999999995e-03 1.820000000000000003e-03 1.160999999999999923e-03 7.889999999999999878e-04 6.629999999999999609e-04 5.529999999999999976e-04 5.800000000000000034e-04 1.296000000000000060e-03 2.059000000000000066e-03 2.716000000000000098e-03 2.455000000000000151e-03 2.351999999999999924e-03 2.073000000000000190e-03 2.517999999999999839e-03 2.737999999999999982e-03
5.150000000000000498e-04 1.525000000000000097e-03 2.007000000000000103e-03 2.869000000000000022e-03 2.792000000000000211e-03 2.400999999999999922e-03 2.322999999999999978e-03 2.498999999999999919e-03 1.606000000000000006e-03 1.043000000000000090e-03 8.480000000000000124e-04 6.909999999999999910e-04 7.579999999999999932e-04 1.704000000000000003e-03 2.299999999999999961e-03 3.108000000000000086e-03 2.798999999999999839e-03 2.753999999999999938e-03 2.412000000000000081e-03 2.925000000000000083e-03 3.158000000000000217e-03
5.770000000000000389e-04 1.729000000000000068e-03 2.197000000000000168e-03 3.527000000000000187e-03 3.366000000000000068e-03 2.660000000000000038e-03 2.380000000000000171e-03 3.089000000000000166e-03 2.259000000000000157e-03 1.415000000000000025e-03 1.100999999999999982e-03 8.779999999999999827e-04 9.940000000000000918e-04 2.086999999999999880e-03 2.534999999999999927e-03 3.423999999999999960e-03 3.188999999999999994e-03 3.096999999999999927e-03 2.882000000000000013e-03 3.230999999999999931e-03 3.609999999999999928e-03
